datetime,open,high,low,close,volume,ma5,ma20,signal,signal_change,position,equity,equity_curve,market_return,market_curve
2021-06-26,31576.09,32730.0,30151.0,32283.65,107820.375287,32943.763999999996,35661.4905,0,0.0,0,367919.8889336337,3.679198889336337,0.022137475878161617,4.483310998007172
2021-06-27,32283.65,34749.0,31973.45,34700.34,96613.244211,33381.92,35718.868,0,0.0,0,367919.8889336337,3.679198889336337,0.07485801636432043,4.818922766062331
2021-06-28,34702.49,35297.71,33862.72,34494.89,82222.267819,33545.284,35774.572,0,0.0,0,367919.8889336337,3.679198889336337,-0.0059206912670018985,4.790391412124949
2021-06-29,34494.89,36600.0,34225.43,35911.73,90788.79622,33795.012,35700.756,0,0.0,0,367919.8889336337,3.679198889336337,0.04107390978779768,4.9871515168348095
2021-06-30,35911.72,36100.0,34017.55,35045.0,77152.197634,34487.122,35619.22,0,0.0,0,367919.8889336337,3.679198889336337,-0.0241350110395685,4.86678655992
2021-07-01,35045.0,35057.57,32711.0,33504.69,71708.266112,34731.33,35427.8555,0,0.0,0,367919.8889336337,3.679198889336337,-0.043952346982451096,4.652879868348867
2021-07-02,33502.33,33977.04,32699.0,33786.55,56172.181378,34548.572,35339.8775,0,0.0,0,367919.8889336337,3.679198889336337,0.008412553585781524,4.692022469569556
2021-07-03,33786.54,34945.61,33316.73,34669.13,43044.578641,34583.42,35122.3055,0,0.0,0,367919.8889336337,3.679198889336337,0.026122229111880113,4.814588555517742
2021-07-04,34669.12,35967.85,34357.15,35286.51,43703.475789,34458.376000000004,34860.8165,0,0.0,0,367919.8889336337,3.679198889336337,0.017807773082278322,4.900325655998936
2021-07-05,35288.13,35293.78,33125.55,33690.14,64123.874245,34187.403999999995,34538.1215,0,0.0,0,367919.8889336337,3.679198889336337,-0.04524023486595874,4.67863377240186
2021-07-06,33690.15,35118.88,33532.0,34220.01,58210.596349,34330.468,34331.671500000004,0,0.0,0,367919.8889336337,3.679198889336337,0.01572774705002722,4.752218140913912
2021-07-07,34220.02,35059.09,33777.77,33862.12,53807.521675,34345.582,34120.129,1,1.0,0,367919.8889336337,3.679198889336337,-0.010458500742694055,4.702517063957719
2021-07-08,33862.11,33929.64,32077.0,32875.71,70136.48032,33986.898,33972.9225,1,0.0,1,356845.21561835735,3.5684521561835734,-0.02913019031295161,4.565531846934729
2021-07-09,32875.71,34100.0,32261.07,33815.81,47153.939899,33692.757999999994,33889.527,0,-1.0,1,367049.41157953406,3.6704941157953406,0.028595580141082877,4.6960858787504165
2021-07-10,33815.81,34262.0,33004.78,33502.87,34761.175468,33655.304000000004,33784.662500000006,0,0.0,0,366682.3621679545,3.666823621679545,-0.009254251191971874,4.652627120409388
2021-07-11,33502.87,34666.0,33306.47,34258.99,31572.647448,33663.1,33917.1655,0,0.0,0,366682.3621679545,3.666823621679545,0.022568812761414092,4.7576313907385845
2021-07-12,34259.0,34678.43,32658.34,33086.63,48181.403762,33508.002,33946.019,0,0.0,0,366682.3621679545,3.666823621679545,-0.03422050679252364,4.594822833415491
2021-07-13,33086.94,33340.0,32202.25,32729.77,41126.361008,33478.814,33898.604,0,0.0,0,366682.3621679545,3.666823621679545,-0.010785625492834905,4.545264795128345
